imdb_id,title,budget,genres,popularity,production_companies,release_date,revenue,runtime,Name,Black,East Asian,Hispanic/Latino,South Asian,White,Other,Male,Female
tt0113497,Jumanji,65000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 10751, 'name': 'Family'}]",17.015539,"[{'name': 'TriStar Pictures', 'id': 559}, {'name': 'Teitler Film', 'id': 2550}, {'name': 'Interscope Communications', 'id': 10201}]",1995-12-15,262797249.0,104.0,jumanji_tt0113497,0.074091307500027,0.0004209364483351,0.0,0.0,0.9254877560516378,0.0,0.6492470941822308,0.3507529058177692
tt0113228,Grumpier Old Men,0,"[{'id': 10749, 'name': 'Romance'}, {'id': 35, 'name': 'Comedy'}]",11.7129,"[{'name': 'Warner Bros.', 'id': 6194}, {'name': 'Lancaster Gate', 'id': 19464}]",1995-12-22,0.0,101.0,grumpier.old.me_tt0113228,0.0,0.0,0.0508242638994347,0.0,0.9767299417868884,0.0,0.704674493777949,0.295325506222051
tt0114885,Waiting to Exhale,16000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",3.859495,"[{'name': 'Twentieth Century Fox Film Corporation', 'id': 306}]",1995-12-22,81452156.0,127.0,waiting.to.exha_tt0114885,0.954857397259521,0.0,0.0251650278390009,0.0031169787676089,0.0612947196587867,0.0,0.2847184726031835,0.7152815273968165
tt0113041,Father of the Bride Part II,0,"[{'id': 35, 'name': 'Comedy'}]",8.387519,"[{'name': 'Sandollar Productions', 'id': 5842}, {'name': 'Touchstone Pictures', 'id': 9195}]",1995-02-10,76578911.0,106.0,father.of.the.b_tt0113041,0.0015098673243118,0.0118513735929338,0.0100345581269812,0.0065464629518885,0.9735558883767208,0.0,0.6291404122909374,0.3708595877090626
tt0113277,Heat,60000000,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",17.924927,"[{'name': 'Regency Enterprises', 'id': 508}, {'name': 'Forward Pass', 'id': 675}, {'name': 'Warner Bros.', 'id': 6194}]",1995-12-15,187436818.0,170.0,heat_tt0113277,0.0915822092360506,0.0079978511671176,0.1289456961104814,0.0039989255835588,0.8430185860941686,0.012649943331084,0.8126339268931467,0.1873660731068533
tt0114319,Sabrina,58000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",6.677277,"[{'name': 'Paramount Pictures', 'id': 4}, {'name': 'Scott Rudin Productions', 'id': 258}, {'name': 'Mirage Enterprises', 'id': 932}, {'name': 'Sandollar Productions', 'id': 5842}, {'name': 'Constellation Entertainment', 'id': 14941}, {'name': 'Worldwide', 'id': 55873}, {'name': 'Mont Blanc Entertainment GmbH', 'id': 58079}]",1995-12-15,0.0,127.0,sabrina_tt0114319,0.0165804185360975,0.0001499873387311,0.0425145929239739,0.0,0.973257452292988,0.0,0.5448602426250923,0.4551397573749077
tt0113189,GoldenEye,58000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",14.686036,"[{'name': 'United Artists', 'id': 60}, {'name': 'Eon Productions', 'id': 7576}]",1995-11-16,352194034.0,130.0,goldeneye,0.0,0.0058035277378362,0.0406871786378384,0.0057636280141229,0.9724097174647864,0.0053488214525005,0.7207879431995985,0.2792120568004015
tt0112346,The American President,62000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",6.318445,"[{'name': 'Columbia Pictures', 'id': 5}, {'name': 'Castle Rock Entertainment', 'id': 97}]",1995-11-17,107879496.0,106.0,american.presid_tt0112346,0.043103272374831,0.0,0.0267579768918815,0.0,0.961350014028107,0.0,0.6341295673775263,0.3658704326224736
tt0112641,Casino,52000000,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",10.137389,"[{'name': 'Universal Pictures', 'id': 33}, {'name': 'Légende Entreprises', 'id': 10898}, {'name': 'Syalis DA', 'id': 11583}, {'name': 'De Fina-Cappa', 'id': 11584}]",1995-11-22,116112375.0,178.0,casino_tt0112641,0.0,0.0,0.0535366343594635,0.0,0.9586733540902922,0.0080399738864058,0.8192430951939969,0.1807569048060031
tt0114388,Sense and Sensibility,16500000,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",10.673167,"[{'name': 'Columbia Pictures Corporation', 'id': 441}, {'name': 'Mirage Enterprises', 'id': 932}]",1995-12-13,135000000.0,136.0,sense.and.sensi_tt0114388,0.0,0.0059419230066101,0.0252860070623779,0.0,0.9786237984816848,0.0,0.2675428890321463,0.7324571109678537
