pos,year,n_college_picks,short_college,age,bench,broad,def_int,def_int_td,def_int_yards,forty,fumbles_forced,fumbles_rec,fumbles_rec_tds,fumbles_rec_yds,games,height,kick_ret,kick_ret_td,kick_ret_yds,pass_att,pass_cmp,pass_defended,pass_int,pass_td,pass_yds,punt_ret,punt_ret_td,punt_ret_yds,rec_td,rec_yards,receptions,rush_att,rush_td,rush_yds,sacks,seasons,shuttle,tackles_assists,tackles_combined,tackles_loss,tackles_solo,threecone,vertical,weight
22,2014.0,10,64,23.721622127686786,20.0,128.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.309754032934404,0.0,0.0,0.0,0.0,7.048932928547993,34.0,252.0
22,2015.0,177,4,23.646475631784728,15.0,117.3056438454463,0.0,0.0,0.0,4.72,0.0,0.0,0.0,0.0,0.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.384947915041904,0.0,0.0,0.0,0.0,7.192350667381207,33.77494995319641,255.0
18,2012.0,12,64,21.996629508093925,15.41348683706488,106.0,0.0,0.0,0.0,4.61,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3,0.0,0.0,0.0,0.0,7.03,31.5,215.0
23,2007.0,11,64,23.14676761296232,12.930757073128008,125.0,0.0,0.0,0.0,4.49,0.0,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.27,0.0,0.0,0.0,0.0,6.89,36.0,209.0
3,2000.0,37,64,22.088993094897912,22.0,115.0,0.0,0.0,0.0,4.76,0.0,0.0,0.0,0.0,0.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.56,0.0,0.0,0.0,0.0,7.51,34.0,243.0
3,2000.0,190,73,22.618586612742533,21.0,119.0,0.0,0.0,0.0,5.1,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.461164011582491,0.0,0.0,0.0,0.0,7.405494648446059,34.0,254.0
11,2007.0,37,64,22.27133100981693,19.92377801730086,113.87060194773588,0.0,0.0,0.0,4.78,0.0,0.0,0.0,0.0,0.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.391327546935782,0.0,0.0,0.0,0.0,7.281803245946539,32.59860842581341,239.0
23,2013.0,3,64,23.0,9.0,123.0,0.0,0.0,0.0,4.54,0.0,0.0,0.0,0.0,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.41,0.0,0.0,0.0,0.0,7.11,33.5,217.0
22,2005.0,3,64,23.8058845826916,25.0,121.0,0.0,0.0,0.0,4.78,0.0,0.0,0.0,0.0,0.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1,0.0,0.0,0.0,0.0,7.11,38.0,265.0
7,2012.0,203,25,23.0,22.04949010491916,112.0,0.0,0.0,0.0,4.9,0.0,0.0,0.0,0.0,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.65,0.0,0.0,0.0,0.0,7.99,31.5,293.0
16,2011.0,87,1,22.13862565026641,25.0,99.0,0.0,0.0,0.0,5.54,0.0,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,8.25,26.5,325.0
21,2001.0,95,39,24.0,23.0,109.77844674075718,0.0,0.0,0.0,5.3,0.0,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.527583600246294,0.0,0.0,0.0,0.0,7.377129654074631,32.6778967878594,298.0
10,2007.0,4,64,23.0,20.268169598943015,115.84729867783396,0.0,0.0,0.0,4.772334505516502,0.0,0.0,0.0,0.0,0.0,74.57575807319913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.377298442945409,0.0,0.0,0.0,0.0,7.22243284116216,33.60095806470615,251.65830499645529
21,2005.0,34,64,24.01687397244371,28.0,110.0,0.0,0.0,0.0,5.52,0.0,0.0,0.0,0.0,0.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.76,0.0,0.0,0.0,0.0,7.78,33.0,337.0
21,2007.0,61,57,23.0,20.0,106.0,0.0,0.0,0.0,5.08,0.0,0.0,0.0,0.0,0.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.47,0.0,0.0,0.0,0.0,7.44,32.0,298.0
