key,player,pick,pos,college,year,team,n_college_picks,short_college,age,bench,broad,carav,def_int,def_int_td,def_int_yards,forty,fumbles_forced,fumbles_rec,fumbles_rec_tds,fumbles_rec_yds,games,height,kick_ret,kick_ret_td,kick_ret_yds,pass_att,pass_cmp,pass_defended,pass_int,pass_td,pass_yds,punt_ret,punt_ret_td,punt_ret_yds,rec,rec_td,rec_yds,rush_att,rush_td,rush_yds,sacks,seasons,shuttle,tackles_assists,tackles_combined,tackles_loss,tackles_solo,threecone,vertical,weight
Calvin Ashley-2021,Calvin Ashley,257.0,OL,Florida A&M,2021.0,,7,SMALL SCHOOL,25.039735240504932,15.0,105.0,0.0,0.0,0.0,0.0,5.49,0.0,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1,0.0,0.0,0.0,0.0,7.0,29.0,314.0
Chris Garrett-2021,Chris Garrett,252.0,DE,Concordia-St.Paul (MN),2021.0,LAR,2,SMALL SCHOOL,23.0,20.268169598944326,115.8472986778325,0.0,0.0,0.0,0.0,4.772334505516511,0.0,0.0,0.0,0.0,0.0,74.57575807319807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.377298442945481,0.0,0.0,0.0,0.0,7.222432841162187,33.600958064705836,251.65830499646074
Dillon Radunz-2021,Dillon Radunz,53.0,T,North Dakota St.,2021.0,TEN,19,SMALL SCHOOL,23.0,24.0,112.0,11.0,0.0,0.0,0.0,5.16,0.0,0.0,0.0,0.0,0.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.57,0.0,0.0,0.0,0.0,7.27,32.0,301.0
Elerson Smith-2021,Elerson Smith,116.0,DL,Northern Iowa,2021.0,NYG,13,SMALL SCHOOL,23.0,26.0,127.0,1.0,0.0,0.0,0.0,4.71,0.0,0.0,0.0,0.0,0.0,73.01803109816035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.39,0.0,0.0,0.0,0.0,7.0,41.5,230.38350086214336
Mac McCain-2021,Mac McCain,257.0,DB,North Carolina A&T,2021.0,,8,SMALL SCHOOL,22.08010074259812,13.0,123.0,0.0,0.0,0.0,0.0,4.45,0.0,0.0,0.0,0.0,0.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.12,0.0,0.0,0.0,0.0,6.94,35.5,186.0
Mike Strachan-2021,Mike Strachan,229.0,WR,Charleston (WV),2021.0,IND,2,SMALL SCHOOL,24.0,20.854121736381842,118.27453908097776,0.0,0.0,0.0,0.0,4.771830923658733,0.0,0.0,0.0,0.0,0.0,76.06933827698424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.356896372761732,0.0,0.0,0.0,0.0,7.142034370931082,35.058381155141475,268.976915731967
Quinn Meinerz-2021,Quinn Meinerz,98.0,C,Wisconsin–Whitewater,2021.0,DEN,1,SMALL SCHOOL,22.0,44.16562416170507,111.0,25.0,0.0,0.0,0.0,4.99,0.0,0.0,0.0,0.0,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.58,0.0,0.0,0.0,0.0,7.54,32.0,320.0
Robert Rochell-2021,Robert Rochell,130.0,DB,Central Arkansas,2021.0,LAR,11,SMALL SCHOOL,23.0,9.0,133.0,4.0,0.0,0.0,0.0,4.41,0.0,0.0,0.0,0.0,0.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.08,0.0,0.0,0.0,0.0,6.84,43.0,193.0
Spencer Brown-2021,Spencer Brown,93.0,OL,Northern Iowa,2021.0,BUF,13,SMALL SCHOOL,23.0,20.268169598944326,115.8472986778325,32.0,0.0,0.0,0.0,4.772334505516511,0.0,0.0,0.0,0.0,0.0,74.57575807319807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.377298442945481,0.0,0.0,0.0,0.0,7.222432841162187,33.600958064705836,251.65830499646074
Trey Ragas-2021,Trey Ragas,257.0,RB,Louisiana,2021.0,,25,SMALL SCHOOL,21.513005707143712,23.0,117.0,0.0,0.0,0.0,0.0,4.6,0.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,7.19,33.5,214.0
