key,player,pick,pos,college,year,team,n_college_picks,short_college,age,bench,broad,carav,def_int,def_int_td,def_int_yards,forty,fumbles_forced,fumbles_rec,fumbles_rec_tds,fumbles_rec_yds,games,height,kick_ret,kick_ret_td,kick_ret_yds,pass_att,pass_cmp,pass_defended,pass_int,pass_td,pass_yds,punt_ret,punt_ret_td,punt_ret_yds,rec_td,rec_yards,receptions,rush_att,rush_td,rush_yds,sacks,seasons,shuttle,tackles_assists,tackles_combined,tackles_loss,tackles_solo,threecone,vertical,weight
A.C. Leonard-2014,A.C. Leonard,257.0,TE,Tennessee State,2014.0,,10,SMALL SCHOOL,23.721622127686782,20.0,128.0,0.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.309754032934404,0.0,0.0,0.0,0.0,7.048932928547993,34.0,252.0
AJ Derby-2015,AJ Derby,257.0,TE,Arkansas,2015.0,,177,Arkansas,23.646475631784728,15.0,117.3056438454463,0.0,0.0,0.0,0.0,4.72,0.0,0.0,0.0,0.0,0.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.384947915041904,0.0,0.0,0.0,0.0,7.1923506673812065,33.77494995319641,255.0
Aaron Corp-2012,Aaron Corp,257.0,QB,Richmond,2012.0,,12,SMALL SCHOOL,21.996629508093925,15.41348683706488,106.0,0.0,0.0,0.0,0.0,4.61,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3,0.0,0.0,0.0,0.0,7.03,31.5,215.0
Aaron Fairooz-2007,Aaron Fairooz,257.0,WR,Central Arkansas,2007.0,,11,SMALL SCHOOL,23.14676761296232,12.930757073128007,125.0,0.0,0.0,0.0,0.0,4.49,0.0,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.27,0.0,0.0,0.0,0.0,6.89,36.0,209.0
Aaron Fields-2000,Aaron Fields,257.0,DE,Troy,2000.0,,37,SMALL SCHOOL,22.088993094897912,22.0,115.0,0.0,0.0,0.0,0.0,4.76,0.0,0.0,0.0,0.0,0.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.56,0.0,0.0,0.0,0.0,7.51,34.0,243.0
Aaron Humphrey-2000,Aaron Humphrey,257.0,DE,Texas,2000.0,,190,Texas,22.618586612742533,21.0,119.0,0.0,0.0,0.0,0.0,5.1,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.461164011582491,0.0,0.0,0.0,0.0,7.405494648446059,34.0,254.0
Aaron King-2007,Aaron King,257.0,LS,Texas-El Paso,2007.0,,37,SMALL SCHOOL,22.271331009816926,19.92377801730086,113.87060194773588,0.0,0.0,0.0,0.0,4.78,0.0,0.0,0.0,0.0,0.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.391327546935782,0.0,0.0,0.0,0.0,7.281803245946539,32.59860842581341,239.0
Aaron Mellette-2013,Aaron Mellette,238.0,WR,Elon,2013.0,BAL,3,SMALL SCHOOL,23.0,9.0,123.0,0.0,0.0,0.0,0.0,4.54,0.0,0.0,0.0,0.0,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.41,0.0,0.0,0.0,0.0,7.11,33.5,217.0
Adam Bergen-2005,Adam Bergen,257.0,TE,Lehigh,2005.0,,3,SMALL SCHOOL,23.805884582691597,25.0,121.0,0.0,0.0,0.0,0.0,4.78,0.0,0.0,0.0,0.0,0.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1,0.0,0.0,0.0,0.0,7.11,38.0,265.0
Adam Gettis-2012,Adam Gettis,141.0,G,Iowa,2012.0,WAS,203,Iowa,23.0,22.04949010491916,112.0,1.0,0.0,0.0,0.0,4.9,0.0,0.0,0.0,0.0,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.65,0.0,0.0,0.0,0.0,7.99,31.5,293.0
